State,Age,UrbanRural,LiteracyRate
DADRA & NAGAR HAVELI,34,Rural,52.01%
DADRA & NAGAR HAVELI,34,Urban,92.09%
DADRA & NAGAR HAVELI,35,Rural,48.89%
DADRA & NAGAR HAVELI,35,Urban,87.12%
DADRA & NAGAR HAVELI,36,Rural,49.12%
DADRA & NAGAR HAVELI,36,Urban,91.86%
DADRA & NAGAR HAVELI,37,Rural,45.42%
DADRA & NAGAR HAVELI,37,Urban,91.53%
DADRA & NAGAR HAVELI,38,Rural,42.94%
DADRA & NAGAR HAVELI,38,Urban,90.13%
DADRA & NAGAR HAVELI,39,Rural,40.41%
DADRA & NAGAR HAVELI,39,Urban,90.39%
DADRA & NAGAR HAVELI,40,Rural,37.81%
DADRA & NAGAR HAVELI,40,Urban,82.59%
DADRA & NAGAR HAVELI,41,Rural,36.38%
DADRA & NAGAR HAVELI,41,Urban,88.37%
DADRA & NAGAR HAVELI,42,Rural,33.70%
DADRA & NAGAR HAVELI,42,Urban,86.74%
DADRA & NAGAR HAVELI,43,Rural,29.39%
DADRA & NAGAR HAVELI,43,Urban,88.88%
DADRA & NAGAR HAVELI,44,Rural,34.87%
DADRA & NAGAR HAVELI,44,Urban,85.54%
DADRA & NAGAR HAVELI,45,Rural,31.58%
DADRA & NAGAR HAVELI,45,Urban,77.96%
DADRA & NAGAR HAVELI,46,Rural,31.67%
DADRA & NAGAR HAVELI,46,Urban,82.39%
DADRA & NAGAR HAVELI,47,Rural,28.09%
DADRA & NAGAR HAVELI,47,Urban,84.38%
DADRA & NAGAR HAVELI,48,Rural,26.08%
DADRA & NAGAR HAVELI,48,Urban,85.01%
DADRA & NAGAR HAVELI,49,Rural,29.38%
DADRA & NAGAR HAVELI,49,Urban,79.37%
DADRA & NAGAR HAVELI,50,Rural,25.13%
DADRA & NAGAR HAVELI,50,Urban,73.54%
DADRA & NAGAR HAVELI,51,Rural,24.46%
DADRA & NAGAR HAVELI,51,Urban,84.13%
DADRA & NAGAR HAVELI,52,Rural,25.63%
DADRA & NAGAR HAVELI,52,Urban,77.34%
DADRA & NAGAR HAVELI,53,Rural,22.70%
DADRA & NAGAR HAVELI,53,Urban,82.52%
DADRA & NAGAR HAVELI,54,Rural,25.92%
DADRA & NAGAR HAVELI,54,Urban,80.03%
DADRA & NAGAR HAVELI,55,Rural,23.85%
DADRA & NAGAR HAVELI,55,Urban,65.72%
DADRA & NAGAR HAVELI,56,Rural,18.53%
DADRA & NAGAR HAVELI,56,Urban,78.75%
DADRA & NAGAR HAVELI,57,Rural,23.66%
DADRA & NAGAR HAVELI,57,Urban,74.87%
DADRA & NAGAR HAVELI,58,Rural,19.80%
DADRA & NAGAR HAVELI,58,Urban,75.87%
DADRA & NAGAR HAVELI,59,Rural,14.36%
DADRA & NAGAR HAVELI,59,Urban,68.68%
DADRA & NAGAR HAVELI,60,Rural,12.52%
DADRA & NAGAR HAVELI,60,Urban,56.65%
DADRA & NAGAR HAVELI,61,Rural,16.11%
DADRA & NAGAR HAVELI,61,Urban,68.04%
DADRA & NAGAR HAVELI,62,Rural,17.30%
DADRA & NAGAR HAVELI,62,Urban,68.54%
DADRA & NAGAR HAVELI,63,Rural,18.09%
DADRA & NAGAR HAVELI,63,Urban,74.44%
DADRA & NAGAR HAVELI,64,Rural,15.46%
DADRA & NAGAR HAVELI,64,Urban,66.44%
DADRA & NAGAR HAVELI,65,Rural,15.11%
DADRA & NAGAR HAVELI,65,Urban,50.34%
DADRA & NAGAR HAVELI,66,Rural,14.55%
DADRA & NAGAR HAVELI,66,Urban,65.67%
DADRA & NAGAR HAVELI,67,Rural,15.30%
DADRA & NAGAR HAVELI,67,Urban,72.37%
DADRA & NAGAR HAVELI,68,Rural,12.40%
DADRA & NAGAR HAVELI,68,Urban,67.76%
DADRA & NAGAR HAVELI,69,Rural,10.79%
DADRA & NAGAR HAVELI,69,Urban,53.70%
DADRA & NAGAR HAVELI,70,Rural,8.57%
DADRA & NAGAR HAVELI,70,Urban,44.75%
DADRA & NAGAR HAVELI,71,Rural,6.13%
DADRA & NAGAR HAVELI,71,Urban,48.72%
DADRA & NAGAR HAVELI,72,Rural,7.18%
DADRA & NAGAR HAVELI,72,Urban,55.86%
DADRA & NAGAR HAVELI,73,Rural,7.89%
DADRA & NAGAR HAVELI,73,Urban,71.05%
DADRA & NAGAR HAVELI,74,Rural,13.68%
DADRA & NAGAR HAVELI,74,Urban,62.96%
DADRA & NAGAR HAVELI,75,Rural,8.02%
DADRA & NAGAR HAVELI,75,Urban,49.71%
DADRA & NAGAR HAVELI,76,Rural,7.02%
DADRA & NAGAR HAVELI,76,Urban,69.23%
DADRA & NAGAR HAVELI,77,Rural,9.84%
DADRA & NAGAR HAVELI,77,Urban,65.38%
DADRA & NAGAR HAVELI,78,Rural,4.69%
DADRA & NAGAR HAVELI,78,Urban,61.70%
DADRA & NAGAR HAVELI,79,Rural,8.62%
DADRA & NAGAR HAVELI,79,Urban,54.84%
DADRA & NAGAR HAVELI,80,Rural,4.49%
DADRA & NAGAR HAVELI,80,Urban,40.50%
DADRA & NAGAR HAVELI,81,Rural,12.50%
DADRA & NAGAR HAVELI,81,Urban,61.36%
DADRA & NAGAR HAVELI,82,Rural,7.50%
DADRA & NAGAR HAVELI,82,Urban,82.05%
DADRA & NAGAR HAVELI,83,Rural,3.85%
DADRA & NAGAR HAVELI,83,Urban,66.67%
DADRA & NAGAR HAVELI,84,Rural,0.00%
DADRA & NAGAR HAVELI,84,Urban,60.00%
DADRA & NAGAR HAVELI,85,Rural,11.76%
DADRA & NAGAR HAVELI,85,Urban,45.45%
DADRA & NAGAR HAVELI,86,Rural,28.00%
DADRA & NAGAR HAVELI,86,Urban,63.64%
DADRA & NAGAR HAVELI,87,Rural,0.00%
DADRA & NAGAR HAVELI,87,Urban,69.23%
DADRA & NAGAR HAVELI,88,Rural,0.00%
DADRA & NAGAR HAVELI,88,Urban,73.68%
DADRA & NAGAR HAVELI,89,Rural,35.71%
DADRA & NAGAR HAVELI,89,Urban,76.92%
DADRA & NAGAR HAVELI,90,Rural,8.70%
DADRA & NAGAR HAVELI,90,Urban,41.46%
DADRA & NAGAR HAVELI,91,Rural,62.50%
DADRA & NAGAR HAVELI,91,Urban,54.55%
DADRA & NAGAR HAVELI,92,Rural,75.00%
DADRA & NAGAR HAVELI,92,Urban,88.24%
DADRA & NAGAR HAVELI,93,Rural,37.50%
DADRA & NAGAR HAVELI,93,Urban,85.71%
DADRA & NAGAR HAVELI,94,Rural,60.00%
DADRA & NAGAR HAVELI,94,Urban,83.33%
DADRA & NAGAR HAVELI,95,Rural,28.57%
DADRA & NAGAR HAVELI,95,Urban,72.73%
DADRA & NAGAR HAVELI,96,Rural,20.00%
DADRA & NAGAR HAVELI,96,Urban,60.00%
DADRA & NAGAR HAVELI,97,Rural,66.67%
DADRA & NAGAR HAVELI,97,Urban,71.43%
DADRA & NAGAR HAVELI,98,Rural,80.00%
DADRA & NAGAR HAVELI,98,Urban,70.00%
DADRA & NAGAR HAVELI,99,Rural,25.00%
DADRA & NAGAR HAVELI,99,Urban,0.00%
DAMAN & DIU,7,Rural,82.06%
DAMAN & DIU,7,Urban,81.80%
DAMAN & DIU,8,Rural,95.64%
DAMAN & DIU,8,Urban,91.48%
DAMAN & DIU,9,Rural,97.79%
DAMAN & DIU,9,Urban,94.36%
DAMAN & DIU,10,Rural,97.35%
DAMAN & DIU,10,Urban,93.94%
DAMAN & DIU,11,Rural,98.42%
DAMAN & DIU,11,Urban,95.90%
DAMAN & DIU,12,Rural,98.50%
DAMAN & DIU,12,Urban,96.59%
DAMAN & DIU,13,Rural,98.70%
DAMAN & DIU,13,Urban,97.08%
DAMAN & DIU,14,Rural,98.65%
DAMAN & DIU,14,Urban,95.27%
DAMAN & DIU,15,Rural,98.28%
DAMAN & DIU,15,Urban,93.60%
DAMAN & DIU,16,Rural,98.76%
DAMAN & DIU,16,Urban,93.69%
DAMAN & DIU,17,Rural,97.14%
DAMAN & DIU,17,Urban,92.54%
DAMAN & DIU,18,Rural,95.96%
DAMAN & DIU,18,Urban,90.56%
DAMAN & DIU,19,Rural,95.77%
DAMAN & DIU,19,Urban,92.50%
DAMAN & DIU,20,Rural,94.37%
DAMAN & DIU,20,Urban,90.88%
DAMAN & DIU,21,Rural,95.85%
DAMAN & DIU,21,Urban,92.93%
DAMAN & DIU,22,Rural,92.98%
DAMAN & DIU,22,Urban,90.70%
DAMAN & DIU,23,Rural,92.90%
DAMAN & DIU,23,Urban,91.57%
DAMAN & DIU,24,Rural,92.20%
DAMAN & DIU,24,Urban,91.65%
DAMAN & DIU,25,Rural,90.00%
DAMAN & DIU,25,Urban,87.84%
DAMAN & DIU,26,Rural,92.88%
DAMAN & DIU,26,Urban,91.46%
DAMAN & DIU,27,Rural,89.01%
DAMAN & DIU,27,Urban,92.20%
DAMAN & DIU,28,Rural,89.05%
DAMAN & DIU,28,Urban,90.48%
DAMAN & DIU,29,Rural,86.51%
DAMAN & DIU,29,Urban,92.43%
DAMAN & DIU,30,Rural,86.03%
DAMAN & DIU,30,Urban,87.64%
DAMAN & DIU,31,Rural,86.46%
DAMAN & DIU,31,Urban,93.59%
DAMAN & DIU,32,Rural,84.17%
DAMAN & DIU,32,Urban,90.19%
DAMAN & DIU,33,Rural,78.13%
DAMAN & DIU,33,Urban,92.14%
DAMAN & DIU,34,Rural,78.86%
DAMAN & DIU,34,Urban,91.35%
DAMAN & DIU,35,Rural,79.50%
DAMAN & DIU,35,Urban,86.35%
DAMAN & DIU,36,Rural,74.42%
DAMAN & DIU,36,Urban,90.70%
DAMAN & DIU,37,Rural,77.21%
DAMAN & DIU,37,Urban,92.76%
DAMAN & DIU,38,Rural,73.73%
DAMAN & DIU,38,Urban,90.76%
DAMAN & DIU,39,Rural,73.32%
DAMAN & DIU,39,Urban,91.09%
DAMAN & DIU,40,Rural,72.00%
DAMAN & DIU,40,Urban,84.05%
DAMAN & DIU,41,Rural,72.02%
DAMAN & DIU,41,Urban,90.56%
DAMAN & DIU,42,Rural,69.21%
DAMAN & DIU,42,Urban,90.16%
DAMAN & DIU,43,Rural,65.08%
DAMAN & DIU,43,Urban,91.19%
DAMAN & DIU,44,Rural,67.43%
DAMAN & DIU,44,Urban,89.36%
DAMAN & DIU,45,Rural,62.11%
DAMAN & DIU,45,Urban,80.84%
DAMAN & DIU,46,Rural,67.08%
DAMAN & DIU,46,Urban,86.10%
DAMAN & DIU,47,Rural,59.43%
DAMAN & DIU,47,Urban,89.34%
DAMAN & DIU,48,Rural,62.57%
DAMAN & DIU,48,Urban,87.50%
DAMAN & DIU,49,Rural,63.52%
DAMAN & DIU,49,Urban,85.66%
DAMAN & DIU,50,Rural,58.49%
DAMAN & DIU,50,Urban,78.13%
DAMAN & DIU,51,Rural,59.34%
DAMAN & DIU,51,Urban,85.10%
DAMAN & DIU,52,Rural,56.67%
DAMAN & DIU,52,Urban,84.48%
DAMAN & DIU,53,Rural,53.27%
DAMAN & DIU,53,Urban,87.18%
DAMAN & DIU,54,Rural,57.46%
DAMAN & DIU,54,Urban,84.50%
DAMAN & DIU,55,Rural,48.75%
DAMAN & DIU,55,Urban,74.64%
DAMAN & DIU,56,Rural,46.83%
DAMAN & DIU,56,Urban,85.34%
DAMAN & DIU,57,Rural,46.67%
DAMAN & DIU,57,Urban,84.92%
DAMAN & DIU,58,Rural,48.16%
DAMAN & DIU,58,Urban,81.38%
DAMAN & DIU,59,Rural,48.74%
DAMAN & DIU,59,Urban,81.43%
DAMAN & DIU,60,Rural,37.95%
DAMAN & DIU,60,Urban,64.39%
DAMAN & DIU,61,Rural,38.33%
DAMAN & DIU,61,Urban,74.57%
DAMAN & DIU,62,Rural,41.99%
DAMAN & DIU,62,Urban,78.72%
DAMAN & DIU,63,Rural,33.18%
DAMAN & DIU,63,Urban,74.94%
DAMAN & DIU,64,Rural,39.63%
DAMAN & DIU,64,Urban,72.03%
DAMAN & DIU,65,Rural,34.08%
DAMAN & DIU,65,Urban,53.64%
DAMAN & DIU,66,Rural,33.15%
DAMAN & DIU,66,Urban,74.86%
DAMAN & DIU,67,Rural,37.01%
DAMAN & DIU,67,Urban,75.65%
DAMAN & DIU,68,Rural,35.77%
DAMAN & DIU,68,Urban,69.73%
DAMAN & DIU,69,Rural,35.09%
DAMAN & DIU,69,Urban,60.54%
DAMAN & DIU,70,Rural,25.61%
DAMAN & DIU,70,Urban,50.17%
DAMAN & DIU,71,Rural,25.62%
DAMAN & DIU,71,Urban,62.99%
DAMAN & DIU,72,Rural,25.53%
DAMAN & DIU,72,Urban,62.11%
DAMAN & DIU,73,Rural,25.53%
DAMAN & DIU,73,Urban,63.98%
DAMAN & DIU,74,Rural,34.57%
DAMAN & DIU,74,Urban,64.09%
DAMAN & DIU,75,Rural,25.38%
DAMAN & DIU,75,Urban,52.50%
DAMAN & DIU,76,Rural,14.81%
DAMAN & DIU,76,Urban,65.33%
DAMAN & DIU,77,Rural,16.67%
DAMAN & DIU,77,Urban,57.14%
DAMAN & DIU,78,Rural,28.26%
DAMAN & DIU,78,Urban,66.06%
DAMAN & DIU,79,Rural,26.19%
DAMAN & DIU,79,Urban,55.88%
DAMAN & DIU,80,Rural,23.71%
DAMAN & DIU,80,Urban,46.93%
DAMAN & DIU,81,Rural,28.57%
DAMAN & DIU,81,Urban,39.56%
DAMAN & DIU,82,Rural,28.95%
DAMAN & DIU,82,Urban,56.14%
DAMAN & DIU,83,Rural,24.00%
DAMAN & DIU,83,Urban,44.68%
DAMAN & DIU,84,Rural,21.43%
DAMAN & DIU,84,Urban,64.44%
DAMAN & DIU,85,Rural,14.81%
DAMAN & DIU,85,Urban,52.11%
DAMAN & DIU,86,Rural,33.33%
DAMAN & DIU,86,Urban,52.78%
DAMAN & DIU,87,Rural,27.27%
DAMAN & DIU,87,Urban,71.43%
DAMAN & DIU,88,Rural,10.00%
DAMAN & DIU,88,Urban,68.75%
DAMAN & DIU,89,Rural,28.57%
DAMAN & DIU,89,Urban,47.62%
DAMAN & DIU,90,Rural,9.09%
DAMAN & DIU,90,Urban,31.71%
DAMAN & DIU,91,Rural,60.00%
DAMAN & DIU,91,Urban,52.00%
DAMAN & DIU,92,Rural,66.67%
DAMAN & DIU,92,Urban,61.11%
DAMAN & DIU,93,Rural,33.33%
DAMAN & DIU,93,Urban,66.67%
DAMAN & DIU,94,Rural,66.67%
DAMAN & DIU,94,Urban,62.50%
DAMAN & DIU,95,Rural,33.33%
DAMAN & DIU,95,Urban,68.75%
DAMAN & DIU,96,Rural,0.00%
DAMAN & DIU,96,Urban,83.33%
DAMAN & DIU,97,Rural,83.33%
DAMAN & DIU,97,Urban,77.78%
DAMAN & DIU,98,Rural,100.00%
DAMAN & DIU,98,Urban,77.78%
DAMAN & DIU,99,Rural,0.00%
DAMAN & DIU,99,Urban,66.67%
DELHI,7,Rural,80.70%
DELHI,7,Urban,80.02%
DELHI,8,Rural,91.57%
DELHI,8,Urban,91.49%
DELHI,9,Rural,93.63%
DELHI,9,Urban,93.60%
DELHI,10,Rural,92.95%
DELHI,10,Urban,93.22%
DELHI,11,Rural,95.47%
DELHI,11,Urban,95.73%
DELHI,12,Rural,95.88%
DELHI,12,Urban,96.10%
DELHI,13,Rural,96.89%
DELHI,13,Urban,96.53%
DELHI,14,Rural,95.96%
DELHI,14,Urban,96.20%
DELHI,15,Rural,94.55%
DELHI,15,Urban,95.18%
DELHI,16,Rural,94.93%
DELHI,16,Urban,95.07%
DELHI,17,Rural,94.60%
DELHI,17,Urban,95.22%
DELHI,18,Rural,91.80%
DELHI,18,Urban,93.10%
DELHI,19,Rural,93.21%
DELHI,19,Urban,94.30%
DELHI,20,Rural,89.51%
DELHI,20,Urban,91.16%
DELHI,21,Rural,92.71%
DELHI,21,Urban,93.62%
DELHI,22,Rural,90.10%
DELHI,22,Urban,90.84%
DELHI,23,Rural,91.09%
DELHI,23,Urban,92.49%
DELHI,24,Rural,90.72%
DELHI,24,Urban,91.90%
DELHI,25,Rural,84.62%
DELHI,25,Urban,86.90%
DELHI,26,Rural,88.48%
DELHI,26,Urban,90.15%
DELHI,27,Rural,88.99%
DELHI,27,Urban,91.27%
DELHI,28,Rural,86.54%
DELHI,28,Urban,88.21%
DELHI,29,Rural,90.30%
DELHI,29,Urban,91.70%
DELHI,30,Rural,78.66%
DELHI,30,Urban,82.32%
DELHI,31,Rural,87.95%
DELHI,31,Urban,90.53%
DELHI,32,Rural,83.37%
DELHI,32,Urban,85.97%
DELHI,33,Rural,85.89%
DELHI,33,Urban,88.76%
DELHI,34,Rural,85.74%
DELHI,34,Urban,88.65%
DELHI,35,Rural,73.65%
DELHI,35,Urban,77.82%
DELHI,36,Rural,81.40%
DELHI,36,Urban,84.60%
DELHI,37,Rural,83.16%
DELHI,37,Urban,87.22%
DELHI,38,Rural,77.84%
DELHI,38,Urban,82.67%
DELHI,39,Rural,80.78%
DELHI,39,Urban,86.46%
DELHI,40,Rural,67.46%
DELHI,40,Urban,73.82%
DELHI,41,Rural,78.03%
DELHI,41,Urban,85.15%
DELHI,42,Rural,74.38%
DELHI,42,Urban,81.94%
DELHI,43,Rural,74.82%
DELHI,43,Urban,84.86%
DELHI,44,Rural,74.40%
DELHI,44,Urban,84.16%
DELHI,45,Rural,64.01%
DELHI,45,Urban,72.12%
DELHI,46,Rural,72.21%
DELHI,46,Urban,82.28%
DELHI,47,Rural,76.12%
DELHI,47,Urban,85.60%
DELHI,48,Rural,70.67%
DELHI,48,Urban,81.14%
DELHI,49,Rural,72.91%
DELHI,49,Urban,84.74%
DELHI,50,Rural,59.69%
DELHI,50,Urban,70.29%
DELHI,51,Rural,71.62%
DELHI,51,Urban,83.46%
DELHI,52,Rural,71.29%
DELHI,52,Urban,83.87%
DELHI,53,Rural,73.62%
DELHI,53,Urban,86.95%
DELHI,54,Rural,73.06%
DELHI,54,Urban,85.93%
DELHI,55,Rural,57.43%
DELHI,55,Urban,70.60%
DELHI,56,Rural,67.42%
DELHI,56,Urban,81.97%
DELHI,57,Rural,71.99%
DELHI,57,Urban,86.06%
DELHI,58,Rural,63.33%
DELHI,58,Urban,80.42%
DELHI,59,Rural,64.68%
DELHI,59,Urban,82.15%
DELHI,60,Rural,46.60%
DELHI,60,Urban,60.33%
DELHI,61,Rural,56.34%
DELHI,61,Urban,74.54%
DELHI,62,Rural,57.77%
DELHI,62,Urban,73.01%
DELHI,63,Rural,60.96%
DELHI,63,Urban,80.17%
DELHI,64,Rural,59.49%
DELHI,64,Urban,80.05%
DELHI,65,Rural,43.22%
DELHI,65,Urban,60.45%
DELHI,66,Rural,52.32%
DELHI,66,Urban,74.16%
DELHI,67,Rural,60.16%
DELHI,67,Urban,82.78%
DELHI,68,Rural,57.84%
DELHI,68,Urban,79.47%
DELHI,69,Rural,58.30%
DELHI,69,Urban,80.16%
DELHI,70,Rural,39.27%
DELHI,70,Urban,56.59%
DELHI,71,Rural,43.28%
DELHI,71,Urban,72.76%
DELHI,72,Rural,49.40%
DELHI,72,Urban,77.35%
DELHI,73,Rural,55.38%
DELHI,73,Urban,82.26%
DELHI,74,Rural,58.44%
DELHI,74,Urban,80.69%
DELHI,75,Rural,31.52%
DELHI,75,Urban,61.39%
DELHI,76,Rural,34.91%
DELHI,76,Urban,72.79%
DELHI,77,Rural,44.75%
DELHI,77,Urban,82.86%
DELHI,78,Rural,43.49%
DELHI,78,Urban,78.11%
DELHI,79,Rural,45.58%
DELHI,79,Urban,78.37%
DELHI,80,Rural,22.97%
DELHI,80,Urban,52.27%
DELHI,81,Rural,22.27%
DELHI,81,Urban,66.29%
DELHI,82,Rural,33.13%
DELHI,82,Urban,76.66%
DELHI,83,Rural,35.40%
DELHI,83,Urban,80.30%
DELHI,84,Rural,47.50%
DELHI,84,Urban,77.69%
DELHI,85,Rural,25.13%
DELHI,85,Urban,54.46%
DELHI,86,Rural,27.61%
DELHI,86,Urban,66.11%
DELHI,87,Rural,31.15%
DELHI,87,Urban,78.54%
DELHI,88,Rural,35.00%
DELHI,88,Urban,74.99%
DELHI,89,Rural,31.58%
DELHI,89,Urban,75.35%
DELHI,90,Rural,26.52%
DELHI,90,Urban,45.82%
DELHI,91,Rural,35.06%
DELHI,91,Urban,64.72%
DELHI,92,Rural,63.64%
DELHI,92,Urban,78.47%
DELHI,93,Rural,67.57%
DELHI,93,Urban,83.36%
DELHI,94,Rural,55.26%
DELHI,94,Urban,79.77%
DELHI,95,Rural,40.24%
DELHI,95,Urban,59.98%
DELHI,96,Rural,48.15%
DELHI,96,Urban,71.41%
DELHI,97,Rural,56.52%
DELHI,97,Urban,82.47%
DELHI,98,Rural,56.67%
DELHI,98,Urban,75.29%
DELHI,99,Rural,39.13%
DELHI,99,Urban,67.57%
GOA,7,Rural,82.92%
GOA,7,Urban,83.32%
GOA,8,Rural,94.86%
GOA,8,Urban,94.15%
GOA,9,Rural,96.99%
GOA,9,Urban,95.58%
GOA,10,Rural,96.83%
GOA,10,Urban,95.70%
GOA,11,Rural,97.78%
GOA,11,Urban,97.01%
GOA,12,Rural,98.11%
GOA,12,Urban,97.58%
GOA,13,Rural,98.12%
GOA,13,Urban,97.82%
GOA,14,Rural,98.15%
GOA,14,Urban,97.75%
GOA,15,Rural,98.07%
GOA,15,Urban,97.38%
GOA,16,Rural,97.90%
GOA,16,Urban,97.49%
GOA,17,Rural,97.80%
GOA,17,Urban,97.26%
GOA,18,Rural,96.94%
GOA,18,Urban,96.16%
GOA,19,Rural,96.65%
GOA,19,Urban,96.45%
GOA,20,Rural,95.54%
GOA,20,Urban,94.65%
GOA,21,Rural,96.46%
GOA,21,Urban,95.47%
GOA,22,Rural,95.75%
GOA,22,Urban,94.57%
GOA,23,Rural,95.96%
GOA,23,Urban,95.20%
GOA,24,Rural,96.35%
GOA,24,Urban,94.78%
GOA,25,Rural,93.70%
GOA,25,Urban,91.56%
GOA,26,Rural,94.49%
GOA,26,Urban,93.34%
GOA,27,Rural,95.65%
GOA,27,Urban,94.84%
GOA,28,Rural,95.23%
GOA,28,Urban,93.57%
GOA,29,Rural,95.10%
GOA,29,Urban,94.31%
GOA,30,Rural,92.14%
GOA,30,Urban,90.01%
GOA,31,Rural,94.17%
GOA,31,Urban,93.26%
GOA,32,Rural,94.71%
GOA,32,Urban,94.01%
GOA,33,Rural,94.92%
GOA,33,Urban,94.51%
GOA,34,Rural,94.33%
GOA,34,Urban,94.33%
GOA,35,Rural,89.76%
GOA,35,Urban,88.81%
GOA,36,Rural,91.72%
GOA,36,Urban,92.24%
GOA,37,Rural,93.10%
GOA,37,Urban,93.71%
GOA,38,Rural,91.76%
GOA,38,Urban,92.85%
GOA,39,Rural,91.05%
GOA,39,Urban,91.76%
GOA,40,Rural,84.57%
GOA,40,Urban,85.91%
GOA,41,Rural,88.84%
GOA,41,Urban,91.27%
GOA,42,Rural,88.99%
GOA,42,Urban,92.47%
GOA,43,Rural,88.79%
GOA,43,Urban,92.25%
GOA,44,Rural,87.18%
GOA,44,Urban,91.08%
GOA,45,Rural,80.47%
GOA,45,Urban,84.15%
GOA,46,Rural,84.47%
GOA,46,Urban,89.57%
GOA,47,Rural,85.72%
GOA,47,Urban,90.85%
GOA,48,Rural,82.88%
GOA,48,Urban,89.46%
GOA,49,Rural,82.21%
GOA,49,Urban,88.87%
GOA,50,Rural,74.60%
GOA,50,Urban,81.92%
GOA,51,Rural,79.84%
GOA,51,Urban,87.81%
GOA,52,Rural,81.63%
GOA,52,Urban,89.42%
GOA,53,Rural,82.21%
GOA,53,Urban,88.96%
GOA,54,Rural,78.86%
GOA,54,Urban,87.76%
GOA,55,Rural,69.53%
GOA,55,Urban,80.47%
GOA,56,Rural,75.74%
GOA,56,Urban,84.48%
GOA,57,Rural,79.76%
GOA,57,Urban,87.68%
GOA,58,Rural,76.61%
GOA,58,Urban,85.86%
GOA,59,Rural,73.73%
GOA,59,Urban,83.45%
GOA,60,Rural,58.05%
GOA,60,Urban,71.32%
GOA,61,Rural,65.25%
GOA,61,Urban,78.07%
GOA,62,Rural,68.26%
GOA,62,Urban,79.58%
GOA,63,Rural,70.67%
GOA,63,Urban,82.33%
GOA,64,Rural,64.96%
GOA,64,Urban,78.47%
GOA,65,Rural,53.08%
GOA,65,Urban,67.53%
GOA,66,Rural,59.99%
GOA,66,Urban,75.42%
GOA,67,Rural,67.09%
GOA,67,Urban,78.39%
GOA,68,Rural,63.20%
GOA,68,Urban,78.10%
GOA,69,Rural,58.84%
GOA,69,Urban,75.09%
GOA,70,Rural,46.65%
GOA,70,Urban,61.91%
GOA,71,Rural,54.03%
GOA,71,Urban,71.25%
GOA,72,Rural,59.46%
GOA,72,Urban,76.21%
GOA,73,Rural,63.51%
GOA,73,Urban,76.69%
GOA,74,Rural,60.80%
GOA,74,Urban,75.98%
GOA,75,Rural,50.57%
GOA,75,Urban,65.28%
GOA,76,Rural,58.24%
GOA,76,Urban,71.40%
GOA,77,Rural,63.35%
GOA,77,Urban,79.57%
GOA,78,Rural,64.39%
GOA,78,Urban,77.29%
GOA,79,Rural,56.46%
GOA,79,Urban,76.10%
GOA,80,Rural,44.72%
GOA,80,Urban,56.84%
GOA,81,Rural,51.79%
GOA,81,Urban,67.70%
GOA,82,Rural,60.68%
GOA,82,Urban,73.00%
GOA,83,Rural,64.48%
GOA,83,Urban,73.72%
GOA,84,Rural,59.09%
GOA,84,Urban,73.21%
GOA,85,Rural,48.08%
GOA,85,Urban,60.73%
GOA,86,Rural,55.86%
GOA,86,Urban,71.88%
GOA,87,Rural,63.44%
GOA,87,Urban,72.73%
GOA,88,Rural,65.10%
GOA,88,Urban,75.68%
GOA,89,Rural,56.73%
GOA,89,Urban,72.49%
GOA,90,Rural,44.56%
GOA,90,Urban,58.92%
GOA,91,Rural,56.95%
GOA,91,Urban,68.14%
GOA,92,Rural,60.32%
GOA,92,Urban,79.75%
GOA,93,Rural,85.37%
GOA,93,Urban,77.48%
GOA,94,Rural,65.57%
GOA,94,Urban,81.42%
GOA,95,Rural,62.16%
GOA,95,Urban,60.47%
GOA,96,Rural,50.00%
GOA,96,Urban,75.61%
GOA,97,Rural,60.53%
GOA,97,Urban,78.18%
GOA,98,Rural,63.46%
GOA,98,Urban,73.24%
GOA,99,Rural,32.14%
GOA,99,Urban,52.38%
GUJARAT,7,Rural,77.85%
GUJARAT,7,Urban,81.63%
GUJARAT,8,Rural,89.39%
GUJARAT,8,Urban,91.02%
GUJARAT,9,Rural,92.98%
GUJARAT,9,Urban,93.61%
GUJARAT,10,Rural,92.42%
GUJARAT,10,Urban,93.14%
GUJARAT,11,Rural,94.51%
GUJARAT,11,Urban,95.14%
GUJARAT,12,Rural,93.73%
GUJARAT,12,Urban,94.89%
GUJARAT,13,Rural,94.08%
GUJARAT,13,Urban,95.43%
GUJARAT,14,Rural,93.40%
GUJARAT,14,Urban,95.16%
GUJARAT,15,Rural,91.54%
GUJARAT,15,Urban,93.74%
GUJARAT,16,Rural,91.38%
GUJARAT,16,Urban,94.10%
GUJARAT,17,Rural,91.27%
GUJARAT,17,Urban,94.08%
GUJARAT,18,Rural,88.00%
GUJARAT,18,Urban,92.44%
GUJARAT,19,Rural,88.28%
GUJARAT,19,Urban,93.02%
GUJARAT,20,Rural,83.87%
GUJARAT,20,Urban,90.10%
GUJARAT,21,Rural,85.73%
GUJARAT,21,Urban,92.31%
GUJARAT,22,Rural,82.81%
GUJARAT,22,Urban,90.50%
GUJARAT,23,Rural,81.93%
GUJARAT,23,Urban,91.64%
GUJARAT,24,Rural,81.13%
GUJARAT,24,Urban,91.23%
GUJARAT,25,Rural,78.30%
GUJARAT,25,Urban,87.59%
GUJARAT,26,Rural,79.55%
GUJARAT,26,Urban,90.73%
GUJARAT,27,Rural,79.43%
