State,Age,Sex,LiteracyRate
ARUNACHAL PRADESH,92,Male,65.22%
ARUNACHAL PRADESH,93,Female,45.83%
ARUNACHAL PRADESH,93,Male,60.87%
ARUNACHAL PRADESH,94,Female,41.54%
ARUNACHAL PRADESH,94,Male,59.38%
ARUNACHAL PRADESH,95,Female,30.61%
ARUNACHAL PRADESH,95,Male,40.91%
ARUNACHAL PRADESH,96,Female,27.66%
ARUNACHAL PRADESH,96,Male,47.06%
ARUNACHAL PRADESH,97,Female,48.89%
ARUNACHAL PRADESH,97,Male,37.50%
ARUNACHAL PRADESH,98,Female,26.42%
ARUNACHAL PRADESH,98,Male,65.52%
ARUNACHAL PRADESH,99,Female,28.57%
ARUNACHAL PRADESH,99,Male,33.33%
ASSAM,7,Female,68.90%
ASSAM,7,Male,69.75%
ASSAM,8,Female,79.82%
ASSAM,8,Male,80.72%
ASSAM,9,Female,84.85%
ASSAM,9,Male,85.39%
ASSAM,10,Female,85.18%
ASSAM,10,Male,85.68%
ASSAM,11,Female,88.53%
ASSAM,11,Male,88.80%
ASSAM,12,Female,88.42%
ASSAM,12,Male,88.43%
ASSAM,13,Female,89.27%
ASSAM,13,Male,89.52%
ASSAM,14,Female,88.89%
ASSAM,14,Male,89.10%
ASSAM,15,Female,87.18%
ASSAM,15,Male,87.01%
ASSAM,16,Female,86.47%
ASSAM,16,Male,86.84%
ASSAM,17,Female,85.92%
ASSAM,17,Male,87.34%
ASSAM,18,Female,80.64%
ASSAM,18,Male,85.10%
ASSAM,19,Female,80.20%
ASSAM,19,Male,86.36%
ASSAM,20,Female,74.97%
ASSAM,20,Male,83.15%
ASSAM,21,Female,77.14%
ASSAM,21,Male,85.26%
ASSAM,22,Female,74.77%
ASSAM,22,Male,83.12%
ASSAM,23,Female,75.49%
ASSAM,23,Male,84.24%
ASSAM,24,Female,73.67%
ASSAM,24,Male,83.37%
ASSAM,25,Female,67.23%
ASSAM,25,Male,77.53%
ASSAM,26,Female,69.98%
ASSAM,26,Male,79.93%
ASSAM,27,Female,71.82%
ASSAM,27,Male,81.47%
ASSAM,28,Female,69.27%
ASSAM,28,Male,79.90%
ASSAM,29,Female,69.75%
ASSAM,29,Male,80.90%
ASSAM,30,Female,62.39%
ASSAM,30,Male,73.90%
ASSAM,31,Female,66.13%
ASSAM,31,Male,78.00%
ASSAM,32,Female,66.65%
ASSAM,32,Male,79.07%
ASSAM,33,Female,67.65%
ASSAM,33,Male,81.18%
ASSAM,34,Female,65.52%
ASSAM,34,Male,80.03%
ASSAM,35,Female,57.00%
ASSAM,35,Male,70.79%
ASSAM,36,Female,59.75%
ASSAM,36,Male,74.04%
ASSAM,37,Female,63.14%
ASSAM,37,Male,78.66%
ASSAM,38,Female,60.27%
ASSAM,38,Male,77.36%
ASSAM,39,Female,58.57%
ASSAM,39,Male,76.28%
ASSAM,40,Female,49.02%
ASSAM,40,Male,66.18%
ASSAM,41,Female,53.31%
ASSAM,41,Male,70.87%
ASSAM,42,Female,56.32%
ASSAM,42,Male,75.29%
ASSAM,43,Female,57.88%
ASSAM,43,Male,77.79%
ASSAM,44,Female,54.36%
ASSAM,44,Male,75.00%
ASSAM,45,Female,45.37%
ASSAM,45,Male,64.81%
ASSAM,46,Female,49.44%
ASSAM,46,Male,68.81%
ASSAM,47,Female,54.91%
ASSAM,47,Male,74.87%
ASSAM,48,Female,51.52%
ASSAM,48,Male,72.86%
ASSAM,49,Female,49.32%
ASSAM,49,Male,71.90%
ASSAM,50,Female,39.84%
ASSAM,50,Male,61.71%
ASSAM,51,Female,44.01%
ASSAM,51,Male,67.00%
ASSAM,52,Female,50.16%
ASSAM,52,Male,74.02%
ASSAM,53,Female,53.17%
ASSAM,53,Male,77.25%
ASSAM,54,Female,48.99%
ASSAM,54,Male,75.81%
ASSAM,55,Female,38.78%
ASSAM,55,Male,64.29%
ASSAM,56,Female,42.62%
ASSAM,56,Male,69.69%
ASSAM,57,Female,49.07%
ASSAM,57,Male,77.00%
ASSAM,58,Female,46.33%
ASSAM,58,Male,76.37%
ASSAM,59,Female,40.82%
ASSAM,59,Male,71.22%
ASSAM,60,Female,31.16%
ASSAM,60,Male,58.55%
ASSAM,61,Female,34.37%
ASSAM,61,Male,64.40%
ASSAM,62,Female,41.31%
ASSAM,62,Male,73.55%
ASSAM,63,Female,44.83%
ASSAM,63,Male,78.18%
ASSAM,64,Female,39.89%
ASSAM,64,Male,73.42%
ASSAM,65,Female,30.47%
ASSAM,65,Male,62.45%
ASSAM,66,Female,33.07%
ASSAM,66,Male,66.48%
ASSAM,67,Female,40.55%
ASSAM,67,Male,75.52%
ASSAM,68,Female,39.26%
ASSAM,68,Male,75.30%
ASSAM,69,Female,31.83%
ASSAM,69,Male,66.94%
ASSAM,70,Female,22.81%
ASSAM,70,Male,54.54%
ASSAM,71,Female,25.17%
ASSAM,71,Male,58.90%
ASSAM,72,Female,32.89%
ASSAM,72,Male,69.94%
ASSAM,73,Female,36.36%
ASSAM,73,Male,73.73%
ASSAM,74,Female,33.52%
ASSAM,74,Male,69.74%
ASSAM,75,Female,23.75%
ASSAM,75,Male,57.75%
ASSAM,76,Female,27.90%
ASSAM,76,Male,62.25%
ASSAM,77,Female,34.90%
ASSAM,77,Male,71.56%
ASSAM,78,Female,35.54%
ASSAM,78,Male,71.97%
ASSAM,79,Female,27.69%
ASSAM,79,Male,62.88%
ASSAM,80,Female,18.44%
ASSAM,80,Male,49.50%
ASSAM,81,Female,21.40%
ASSAM,81,Male,53.38%
ASSAM,82,Female,33.26%
ASSAM,82,Male,68.31%
ASSAM,83,Female,39.80%
ASSAM,83,Male,71.67%
ASSAM,84,Female,34.65%
ASSAM,84,Male,67.58%
ASSAM,85,Female,23.21%
ASSAM,85,Male,55.41%
ASSAM,86,Female,27.65%
ASSAM,86,Male,61.63%
ASSAM,87,Female,41.09%
ASSAM,87,Male,72.32%
ASSAM,88,Female,41.14%
ASSAM,88,Male,71.79%
ASSAM,89,Female,29.29%
ASSAM,89,Male,58.33%
ASSAM,90,Female,18.75%
ASSAM,90,Male,45.99%
ASSAM,91,Female,24.06%
ASSAM,91,Male,54.51%
ASSAM,92,Female,45.83%
ASSAM,92,Male,68.66%
ASSAM,93,Female,52.20%
ASSAM,93,Male,74.30%
ASSAM,94,Female,47.54%
ASSAM,94,Male,70.63%
ASSAM,95,Female,29.60%
ASSAM,95,Male,54.72%
ASSAM,96,Female,35.37%
ASSAM,96,Male,61.50%
ASSAM,97,Female,49.49%
ASSAM,97,Male,70.02%
ASSAM,98,Female,42.69%
ASSAM,98,Male,67.20%
ASSAM,99,Female,22.56%
ASSAM,99,Male,50.56%
BIHAR,7,Female,61.23%
BIHAR,7,Male,65.18%
BIHAR,8,Female,73.84%
BIHAR,8,Male,77.90%
BIHAR,9,Female,78.35%
BIHAR,9,Male,82.33%
BIHAR,10,Female,78.60%
BIHAR,10,Male,82.83%
BIHAR,11,Female,81.72%
BIHAR,11,Male,85.92%
BIHAR,12,Female,81.61%
BIHAR,12,Male,86.38%
BIHAR,13,Female,82.84%
BIHAR,13,Male,87.61%
BIHAR,14,Female,81.06%
BIHAR,14,Male,86.18%
BIHAR,15,Female,77.16%
BIHAR,15,Male,82.87%
BIHAR,16,Female,76.17%
BIHAR,16,Male,82.50%
BIHAR,17,Female,75.08%
BIHAR,17,Male,83.30%
BIHAR,18,Female,66.54%
BIHAR,18,Male,79.71%
BIHAR,19,Female,63.25%
BIHAR,19,Male,81.01%
BIHAR,20,Female,56.12%
BIHAR,20,Male,76.29%
BIHAR,21,Female,57.72%
BIHAR,21,Male,78.66%
BIHAR,22,Female,54.14%
BIHAR,22,Male,76.22%
BIHAR,23,Female,52.56%
BIHAR,23,Male,77.30%
BIHAR,24,Female,52.25%
BIHAR,24,Male,75.74%
BIHAR,25,Female,48.18%
BIHAR,25,Male,69.83%
BIHAR,26,Female,49.87%
BIHAR,26,Male,73.44%
BIHAR,27,Female,49.12%
BIHAR,27,Male,75.47%
BIHAR,28,Female,45.19%
BIHAR,28,Male,72.52%
BIHAR,29,Female,46.18%
BIHAR,29,Male,71.63%
BIHAR,30,Female,42.90%
BIHAR,30,Male,65.59%
BIHAR,31,Female,45.33%
BIHAR,31,Male,69.77%
BIHAR,32,Female,43.02%
BIHAR,32,Male,71.20%
BIHAR,33,Female,43.00%
BIHAR,33,Male,73.50%
BIHAR,34,Female,43.59%
BIHAR,34,Male,70.54%
BIHAR,35,Female,38.55%
BIHAR,35,Male,63.10%
BIHAR,36,Female,40.42%
BIHAR,36,Male,66.70%
BIHAR,37,Female,40.40%
BIHAR,37,Male,71.47%
BIHAR,38,Female,36.27%
BIHAR,38,Male,68.19%
BIHAR,39,Female,37.96%
BIHAR,39,Male,66.17%
BIHAR,40,Female,33.33%
BIHAR,40,Male,58.88%
BIHAR,41,Female,36.28%
BIHAR,41,Male,63.48%
BIHAR,42,Female,34.09%
BIHAR,42,Male,66.69%
BIHAR,43,Female,33.82%
BIHAR,43,Male,69.57%
BIHAR,44,Female,34.33%
BIHAR,44,Male,64.80%
BIHAR,45,Female,28.59%
BIHAR,45,Male,56.97%
BIHAR,46,Female,31.29%
BIHAR,46,Male,61.36%
BIHAR,47,Female,31.57%
BIHAR,47,Male,67.90%
BIHAR,48,Female,27.58%
BIHAR,48,Male,64.57%
BIHAR,49,Female,29.43%
BIHAR,49,Male,60.66%
BIHAR,50,Female,25.27%
BIHAR,50,Male,52.31%
BIHAR,51,Female,28.17%
BIHAR,51,Male,57.22%
BIHAR,52,Female,28.27%
BIHAR,52,Male,64.21%
BIHAR,53,Female,29.05%
BIHAR,53,Male,69.15%
BIHAR,54,Female,28.35%
BIHAR,54,Male,63.80%
BIHAR,55,Female,21.75%
BIHAR,55,Male,54.43%
BIHAR,56,Female,24.80%
BIHAR,56,Male,60.65%
BIHAR,57,Female,25.34%
BIHAR,57,Male,70.37%
BIHAR,58,Female,21.63%
BIHAR,58,Male,66.08%
BIHAR,59,Female,21.93%
BIHAR,59,Male,57.54%
BIHAR,60,Female,17.51%
BIHAR,60,Male,46.94%
BIHAR,61,Female,20.84%
BIHAR,61,Male,53.77%
BIHAR,62,Female,21.59%
BIHAR,62,Male,60.39%
BIHAR,63,Female,23.27%
BIHAR,63,Male,66.77%
BIHAR,64,Female,22.39%
BIHAR,64,Male,58.19%
BIHAR,65,Female,15.81%
BIHAR,65,Male,48.05%
BIHAR,66,Female,19.29%
BIHAR,66,Male,54.00%
BIHAR,67,Female,22.68%
BIHAR,67,Male,64.45%
BIHAR,68,Female,18.88%
BIHAR,68,Male,61.28%
BIHAR,69,Female,18.77%
BIHAR,69,Male,53.80%
BIHAR,70,Female,13.37%
BIHAR,70,Male,43.61%
BIHAR,71,Female,15.93%
BIHAR,71,Male,49.06%
BIHAR,72,Female,19.38%
BIHAR,72,Male,59.83%
BIHAR,73,Female,21.78%
BIHAR,73,Male,67.05%
BIHAR,74,Female,20.94%
BIHAR,74,Male,59.75%
BIHAR,75,Female,14.25%
BIHAR,75,Male,47.19%
BIHAR,76,Female,17.87%
BIHAR,76,Male,55.23%
BIHAR,77,Female,21.95%
BIHAR,77,Male,66.66%
BIHAR,78,Female,18.65%
BIHAR,78,Male,63.79%
BIHAR,79,Female,16.78%
BIHAR,79,Male,52.00%
BIHAR,80,Female,11.92%
BIHAR,80,Male,41.53%
BIHAR,81,Female,15.22%
BIHAR,81,Male,46.76%
BIHAR,82,Female,25.65%
BIHAR,82,Male,62.35%
BIHAR,83,Female,30.29%
BIHAR,83,Male,69.06%
BIHAR,84,Female,26.83%
BIHAR,84,Male,61.55%
BIHAR,85,Female,17.16%
BIHAR,85,Male,50.71%
BIHAR,86,Female,22.31%
BIHAR,86,Male,56.75%
BIHAR,87,Female,30.96%
BIHAR,87,Male,67.88%
BIHAR,88,Female,32.24%
BIHAR,88,Male,67.21%
BIHAR,89,Female,23.52%
BIHAR,89,Male,55.77%
BIHAR,90,Female,15.56%
BIHAR,90,Male,45.67%
BIHAR,91,Female,26.76%
BIHAR,91,Male,56.11%
BIHAR,92,Female,45.56%
BIHAR,92,Male,70.92%
BIHAR,93,Female,47.21%
BIHAR,93,Male,74.47%
BIHAR,94,Female,44.38%
BIHAR,94,Male,68.04%
BIHAR,95,Female,26.39%
BIHAR,95,Male,55.93%
BIHAR,96,Female,36.19%
BIHAR,96,Male,63.79%
BIHAR,97,Female,44.71%
BIHAR,97,Male,72.41%
BIHAR,98,Female,35.59%
BIHAR,98,Male,66.89%
BIHAR,99,Female,25.32%
BIHAR,99,Male,53.15%
CHANDIGARH,7,Female,82.37%
CHANDIGARH,7,Male,83.49%
CHANDIGARH,8,Female,91.64%
CHANDIGARH,8,Male,92.16%
CHANDIGARH,9,Female,91.25%
CHANDIGARH,9,Male,92.84%
CHANDIGARH,10,Female,91.39%
CHANDIGARH,10,Male,93.04%
CHANDIGARH,11,Female,94.04%
CHANDIGARH,11,Male,95.43%
CHANDIGARH,12,Female,94.68%
CHANDIGARH,12,Male,95.73%
CHANDIGARH,13,Female,94.66%
CHANDIGARH,13,Male,96.12%
CHANDIGARH,14,Female,94.80%
CHANDIGARH,14,Male,95.97%
CHANDIGARH,15,Female,93.29%
CHANDIGARH,15,Male,94.07%
CHANDIGARH,16,Female,93.49%
CHANDIGARH,16,Male,94.06%
CHANDIGARH,17,Female,93.83%
CHANDIGARH,17,Male,94.14%
CHANDIGARH,18,Female,92.45%
CHANDIGARH,18,Male,92.12%
CHANDIGARH,19,Female,93.21%
CHANDIGARH,19,Male,93.47%
CHANDIGARH,20,Female,89.32%
CHANDIGARH,20,Male,91.59%
CHANDIGARH,21,Female,91.48%
CHANDIGARH,21,Male,94.10%
CHANDIGARH,22,Female,88.30%
CHANDIGARH,22,Male,92.40%
CHANDIGARH,23,Female,89.20%
CHANDIGARH,23,Male,93.57%
CHANDIGARH,24,Female,88.54%
CHANDIGARH,24,Male,93.45%
CHANDIGARH,25,Female,82.01%
CHANDIGARH,25,Male,89.37%
CHANDIGARH,26,Female,84.81%
CHANDIGARH,26,Male,91.47%
CHANDIGARH,27,Female,85.53%
CHANDIGARH,27,Male,92.64%
CHANDIGARH,28,Female,81.39%
CHANDIGARH,28,Male,91.46%
CHANDIGARH,29,Female,84.33%
CHANDIGARH,29,Male,93.41%
CHANDIGARH,30,Female,73.61%
CHANDIGARH,30,Male,86.71%
CHANDIGARH,31,Female,81.19%
CHANDIGARH,31,Male,90.16%
CHANDIGARH,32,Female,78.33%
CHANDIGARH,32,Male,90.15%
CHANDIGARH,33,Female,79.52%
CHANDIGARH,33,Male,91.64%
CHANDIGARH,34,Female,81.19%
CHANDIGARH,34,Male,92.03%
CHANDIGARH,35,Female,68.29%
CHANDIGARH,35,Male,82.34%
CHANDIGARH,36,Female,73.25%
CHANDIGARH,36,Male,85.21%
CHANDIGARH,37,Female,80.07%
CHANDIGARH,37,Male,90.55%
CHANDIGARH,38,Female,72.99%
CHANDIGARH,38,Male,89.02%
CHANDIGARH,39,Female,77.87%
CHANDIGARH,39,Male,90.02%
CHANDIGARH,40,Female,63.72%
CHANDIGARH,40,Male,79.85%
CHANDIGARH,41,Female,73.29%
CHANDIGARH,41,Male,85.84%
CHANDIGARH,42,Female,74.95%
CHANDIGARH,42,Male,88.96%
CHANDIGARH,43,Female,74.81%
CHANDIGARH,43,Male,90.28%
CHANDIGARH,44,Female,79.05%
CHANDIGARH,44,Male,91.18%
CHANDIGARH,45,Female,64.29%
CHANDIGARH,45,Male,78.48%
CHANDIGARH,46,Female,72.42%
CHANDIGARH,46,Male,85.35%
CHANDIGARH,47,Female,79.14%
CHANDIGARH,47,Male,90.84%
CHANDIGARH,48,Female,74.34%
CHANDIGARH,48,Male,89.08%
CHANDIGARH,49,Female,77.29%
CHANDIGARH,49,Male,90.57%
CHANDIGARH,50,Female,63.12%
CHANDIGARH,50,Male,78.80%
CHANDIGARH,51,Female,72.51%
CHANDIGARH,51,Male,85.98%
CHANDIGARH,52,Female,79.08%
CHANDIGARH,52,Male,90.47%
CHANDIGARH,53,Female,81.06%
CHANDIGARH,53,Male,92.92%
CHANDIGARH,54,Female,81.89%
CHANDIGARH,54,Male,93.61%
CHANDIGARH,55,Female,66.19%
CHANDIGARH,55,Male,83.49%
CHANDIGARH,56,Female,73.97%
CHANDIGARH,56,Male,89.69%
CHANDIGARH,57,Female,80.98%
CHANDIGARH,57,Male,92.85%
CHANDIGARH,58,Female,77.05%
CHANDIGARH,58,Male,91.74%
CHANDIGARH,59,Female,76.71%
CHANDIGARH,59,Male,92.61%
CHANDIGARH,60,Female,54.06%
CHANDIGARH,60,Male,76.66%
CHANDIGARH,61,Female,64.22%
CHANDIGARH,61,Male,83.51%
CHANDIGARH,62,Female,70.64%
CHANDIGARH,62,Male,88.40%
CHANDIGARH,63,Female,76.52%
CHANDIGARH,63,Male,89.06%
CHANDIGARH,64,Female,77.01%
CHANDIGARH,64,Male,90.65%
CHANDIGARH,65,Female,54.49%
CHANDIGARH,65,Male,74.75%
CHANDIGARH,66,Female,64.49%
CHANDIGARH,66,Male,83.93%
CHANDIGARH,67,Female,79.61%
CHANDIGARH,67,Male,92.06%
CHANDIGARH,68,Female,76.84%
CHANDIGARH,68,Male,93.25%
CHANDIGARH,69,Female,72.74%
CHANDIGARH,69,Male,91.78%
CHANDIGARH,70,Female,51.12%
CHANDIGARH,70,Male,73.81%
CHANDIGARH,71,Female,60.53%
CHANDIGARH,71,Male,81.50%
CHANDIGARH,72,Female,75.20%
CHANDIGARH,72,Male,91.20%
CHANDIGARH,73,Female,75.41%
CHANDIGARH,73,Male,91.50%
CHANDIGARH,74,Female,81.89%
CHANDIGARH,74,Male,93.36%
CHANDIGARH,75,Female,54.59%
CHANDIGARH,75,Male,82.23%
CHANDIGARH,76,Female,68.58%
CHANDIGARH,76,Male,85.83%
CHANDIGARH,77,Female,76.22%
CHANDIGARH,77,Male,92.87%
CHANDIGARH,78,Female,73.11%
CHANDIGARH,78,Male,93.49%
CHANDIGARH,79,Female,74.93%
CHANDIGARH,79,Male,91.47%
CHANDIGARH,80,Female,50.06%
CHANDIGARH,80,Male,74.10%
CHANDIGARH,81,Female,54.97%
CHANDIGARH,81,Male,83.07%
CHANDIGARH,82,Female,65.62%
CHANDIGARH,82,Male,91.67%
CHANDIGARH,83,Female,68.40%
CHANDIGARH,83,Male,91.61%
CHANDIGARH,84,Female,71.15%
CHANDIGARH,84,Male,93.40%
CHANDIGARH,85,Female,44.14%
CHANDIGARH,85,Male,76.97%
CHANDIGARH,86,Female,54.44%
CHANDIGARH,86,Male,84.44%
CHANDIGARH,87,Female,69.23%
CHANDIGARH,87,Male,93.21%
CHANDIGARH,88,Female,70.65%
CHANDIGARH,88,Male,94.44%
CHANDIGARH,89,Female,70.21%
CHANDIGARH,89,Male,92.66%
CHANDIGARH,90,Female,39.90%
CHANDIGARH,90,Male,66.08%
CHANDIGARH,91,Female,42.74%
CHANDIGARH,91,Male,70.87%
CHANDIGARH,92,Female,68.66%
CHANDIGARH,92,Male,85.48%
CHANDIGARH,93,Female,77.78%
CHANDIGARH,93,Male,100.00%
CHANDIGARH,94,Female,79.07%
CHANDIGARH,94,Male,95.12%
CHANDIGARH,95,Female,59.70%
CHANDIGARH,95,Male,73.17%
CHANDIGARH,96,Female,38.78%
CHANDIGARH,96,Male,69.23%
CHANDIGARH,97,Female,66.67%
CHANDIGARH,97,Male,72.73%
CHANDIGARH,98,Female,71.88%
CHANDIGARH,98,Male,90.24%
CHANDIGARH,99,Female,43.48%
CHANDIGARH,99,Male,71.43%
CHHATTISGARH,7,Female,67.81%
CHHATTISGARH,7,Male,69.01%
CHHATTISGARH,8,Female,85.37%
CHHATTISGARH,8,Male,86.75%
CHHATTISGARH,9,Female,91.20%
CHHATTISGARH,9,Male,92.14%
CHHATTISGARH,10,Female,90.93%
CHHATTISGARH,10,Male,91.95%
CHHATTISGARH,11,Female,94.11%
CHHATTISGARH,11,Male,95.20%
CHHATTISGARH,12,Female,92.41%
CHHATTISGARH,12,Male,94.23%
CHHATTISGARH,13,Female,93.20%
CHHATTISGARH,13,Male,95.24%
CHHATTISGARH,14,Female,92.19%
CHHATTISGARH,14,Male,94.70%
CHHATTISGARH,15,Female,89.23%
CHHATTISGARH,15,Male,92.93%
CHHATTISGARH,16,Female,89.13%
CHHATTISGARH,16,Male,93.26%
CHHATTISGARH,17,Female,89.16%
CHHATTISGARH,17,Male,93.90%
CHHATTISGARH,18,Female,84.46%
CHHATTISGARH,18,Male,91.96%
CHHATTISGARH,19,Female,84.84%
CHHATTISGARH,19,Male,93.33%
CHHATTISGARH,20,Female,79.24%
CHHATTISGARH,20,Male,90.54%
CHHATTISGARH,21,Female,81.87%
CHHATTISGARH,21,Male,92.54%
CHHATTISGARH,22,Female,77.53%
CHHATTISGARH,22,Male,90.19%
CHHATTISGARH,23,Female,75.88%
CHHATTISGARH,23,Male,91.20%
CHHATTISGARH,24,Female,75.07%
CHHATTISGARH,24,Male,90.13%
CHHATTISGARH,25,Female,69.45%
CHHATTISGARH,25,Male,84.97%
CHHATTISGARH,26,Female,71.48%
CHHATTISGARH,26,Male,87.60%
CHHATTISGARH,27,Female,70.49%
CHHATTISGARH,27,Male,87.96%
CHHATTISGARH,28,Female,64.46%
CHHATTISGARH,28,Male,85.49%
CHHATTISGARH,29,Female,67.66%
CHHATTISGARH,29,Male,87.40%
CHHATTISGARH,30,Female,57.92%
CHHATTISGARH,30,Male,79.05%
CHHATTISGARH,31,Female,64.37%
CHHATTISGARH,31,Male,86.44%
CHHATTISGARH,32,Female,56.57%
CHHATTISGARH,32,Male,82.60%
CHHATTISGARH,33,Female,55.12%
CHHATTISGARH,33,Male,84.82%
CHHATTISGARH,34,Female,55.75%
CHHATTISGARH,34,Male,84.17%
CHHATTISGARH,35,Female,47.34%
CHHATTISGARH,35,Male,74.31%
CHHATTISGARH,36,Female,50.12%
CHHATTISGARH,36,Male,79.38%
CHHATTISGARH,37,Female,48.80%
CHHATTISGARH,37,Male,81.27%
CHHATTISGARH,38,Female,41.69%
CHHATTISGARH,38,Male,76.41%
CHHATTISGARH,39,Female,45.24%
CHHATTISGARH,39,Male,78.48%
CHHATTISGARH,40,Female,35.53%
CHHATTISGARH,40,Male,66.05%
CHHATTISGARH,41,Female,43.27%
CHHATTISGARH,41,Male,76.07%
CHHATTISGARH,42,Female,37.31%
CHHATTISGARH,42,Male,72.38%
CHHATTISGARH,43,Female,36.25%
CHHATTISGARH,43,Male,75.49%
CHHATTISGARH,44,Female,37.59%
CHHATTISGARH,44,Male,72.40%
CHHATTISGARH,45,Female,29.85%
CHHATTISGARH,45,Male,59.97%
CHHATTISGARH,46,Female,35.79%
CHHATTISGARH,46,Male,68.76%
CHHATTISGARH,47,Female,34.42%
CHHATTISGARH,47,Male,71.42%
CHHATTISGARH,48,Female,29.71%
CHHATTISGARH,48,Male,66.33%
CHHATTISGARH,49,Female,33.66%
CHHATTISGARH,49,Male,69.23%
CHHATTISGARH,50,Female,25.50%
CHHATTISGARH,50,Male,55.52%
CHHATTISGARH,51,Female,32.89%
CHHATTISGARH,51,Male,67.51%
CHHATTISGARH,52,Female,30.25%
CHHATTISGARH,52,Male,67.95%
CHHATTISGARH,53,Female,29.73%
CHHATTISGARH,53,Male,73.12%
CHHATTISGARH,54,Female,32.58%
CHHATTISGARH,54,Male,71.57%
CHHATTISGARH,55,Female,23.02%
CHHATTISGARH,55,Male,57.90%
CHHATTISGARH,56,Female,28.41%
CHHATTISGARH,56,Male,67.57%
CHHATTISGARH,57,Female,27.49%
CHHATTISGARH,57,Male,71.99%
CHHATTISGARH,58,Female,23.26%
CHHATTISGARH,58,Male,68.18%
CHHATTISGARH,59,Female,24.49%
CHHATTISGARH,59,Male,67.78%
CHHATTISGARH,60,Female,16.43%
CHHATTISGARH,60,Male,51.02%
CHHATTISGARH,61,Female,22.10%
CHHATTISGARH,61,Male,62.37%
CHHATTISGARH,62,Female,20.02%
CHHATTISGARH,62,Male,61.53%
CHHATTISGARH,63,Female,22.04%
CHHATTISGARH,63,Male,68.38%
CHHATTISGARH,64,Female,21.24%
CHHATTISGARH,64,Male,64.13%
CHHATTISGARH,65,Female,13.52%
CHHATTISGARH,65,Male,49.45%
CHHATTISGARH,66,Female,18.20%
CHHATTISGARH,66,Male,58.49%
CHHATTISGARH,67,Female,18.95%
CHHATTISGARH,67,Male,64.08%
CHHATTISGARH,68,Female,16.65%
CHHATTISGARH,68,Male,60.39%
CHHATTISGARH,69,Female,17.35%
CHHATTISGARH,69,Male,57.99%
CHHATTISGARH,70,Female,10.37%
CHHATTISGARH,70,Male,41.78%
CHHATTISGARH,71,Female,14.59%
CHHATTISGARH,71,Male,53.18%
CHHATTISGARH,72,Female,15.56%
CHHATTISGARH,72,Male,57.60%
CHHATTISGARH,73,Female,17.34%
CHHATTISGARH,73,Male,65.45%
CHHATTISGARH,74,Female,18.46%
CHHATTISGARH,74,Male,62.04%
CHHATTISGARH,75,Female,10.83%
CHHATTISGARH,75,Male,44.36%
CHHATTISGARH,76,Female,14.75%
CHHATTISGARH,76,Male,55.15%
CHHATTISGARH,77,Female,17.22%
CHHATTISGARH,77,Male,62.77%
CHHATTISGARH,78,Female,15.28%
CHHATTISGARH,78,Male,58.64%
CHHATTISGARH,79,Female,13.86%
CHHATTISGARH,79,Male,51.85%
CHHATTISGARH,80,Female,8.77%
CHHATTISGARH,80,Male,35.95%
CHHATTISGARH,81,Female,13.94%
CHHATTISGARH,81,Male,45.95%
CHHATTISGARH,82,Female,18.70%
CHHATTISGARH,82,Male,56.22%
CHHATTISGARH,83,Female,23.58%
CHHATTISGARH,83,Male,64.33%
CHHATTISGARH,84,Female,23.77%
CHHATTISGARH,84,Male,58.93%
CHHATTISGARH,85,Female,13.03%
CHHATTISGARH,85,Male,43.98%
CHHATTISGARH,86,Female,21.36%
CHHATTISGARH,86,Male,55.63%
CHHATTISGARH,87,Female,24.67%
CHHATTISGARH,87,Male,64.27%
CHHATTISGARH,88,Female,24.66%
CHHATTISGARH,88,Male,61.57%
CHHATTISGARH,89,Female,21.19%
CHHATTISGARH,89,Male,52.04%
CHHATTISGARH,90,Female,11.45%
CHHATTISGARH,90,Male,36.85%
CHHATTISGARH,91,Female,28.47%
CHHATTISGARH,91,Male,55.41%
CHHATTISGARH,92,Female,44.07%
CHHATTISGARH,92,Male,72.82%
CHHATTISGARH,93,Female,49.31%
CHHATTISGARH,93,Male,76.95%
CHHATTISGARH,94,Female,47.55%
CHHATTISGARH,94,Male,73.84%
CHHATTISGARH,95,Female,27.70%
CHHATTISGARH,95,Male,55.16%
CHHATTISGARH,96,Female,40.56%
CHHATTISGARH,96,Male,70.10%
CHHATTISGARH,97,Female,48.98%
CHHATTISGARH,97,Male,75.07%
CHHATTISGARH,98,Female,38.14%
CHHATTISGARH,98,Male,66.94%
CHHATTISGARH,99,Female,17.64%
CHHATTISGARH,99,Male,41.46%
DADRA & NAGAR HAVELI,7,Female,83.39%
DADRA & NAGAR HAVELI,7,Male,84.26%
DADRA & NAGAR HAVELI,8,Female,92.98%
DADRA & NAGAR HAVELI,8,Male,94.26%
DADRA & NAGAR HAVELI,9,Female,94.26%
DADRA & NAGAR HAVELI,9,Male,96.30%
DADRA & NAGAR HAVELI,10,Female,93.53%
DADRA & NAGAR HAVELI,10,Male,95.24%
DADRA & NAGAR HAVELI,11,Female,95.35%
DADRA & NAGAR HAVELI,11,Male,97.48%
DADRA & NAGAR HAVELI,12,Female,93.56%
DADRA & NAGAR HAVELI,12,Male,97.50%
DADRA & NAGAR HAVELI,13,Female,93.50%
DADRA & NAGAR HAVELI,13,Male,97.65%
DADRA & NAGAR HAVELI,14,Female,91.61%
DADRA & NAGAR HAVELI,14,Male,97.07%
